質問ID,カテゴリー,質問,回答,文字数,更新日時
q001,幼少期,あなたが生まれ育った環境について教えてください。家族構成や地域の特徴、幼少期の家庭の経済状況なども含めて。,"1985年10月6日に産まれた。逆子で、産まれるときにへその緒が首に巻き付いていて焦ったと聞いた。生まれた時は祖父祖母、父母、3つ上の姉、一つ上の姉、自分、犬（雑種）、それから8年後に妹が産まれる。今からすると大家族だが昔は当たり前だった。子供の頃は姉2人と毎日ケンカしていた記憶がある。テレビだったりおもちゃだったりの取り合い、いつも2対1で負ける。不思議なのは、当時よねばあと言う曾祖母ちゃんがいた記憶があるのだが、自分が産まれた時はもうよねばあは他界していたとのこと。でも座敷に笑うよねばあの顔を何となく覚えている。地域は新潟県北魚沼郡湯之谷村七日市というところ。今は平成の大合併で北魚沼郡も湯之谷村もなくなって魚沼市になっている。今もあるが、家の横に大きな桜の木、当時は家の前の道は舗装されていなかった。経済状況は、親父がとにかく忙しそうにしてたのを覚えている。親父が社長に代わってからは少し裕福な方だったのかもしれない。外車を買って家族で旅行に行ったのを覚えている（当時は外車と知らなかったが）でもその外車は毎月壊れて、すぐに手放した気がする。見た目は好きだった。犬はももこという名前で、親せきからもらった犬だったと思う。見た目は毛が長いシェルティーみたいな雑種。当時は今と違って車庫の中に犬小屋があって、一日中そこにつなぎっぱなし。でも、そこから大桃家はずっと犬を飼っていた。
",595,"2025-07-04 22:44:14"
q002,幼少期,子供の頃、どんな夢を持っていましたか？また、その頃から「ものを大切にする」「環境を意識する」ような経験はありましたか？,"子供の頃の夢は科学者や発明家だった。理科や図画工作が好きで、段ボールや牛乳パックやペットボトルでよく工作をしていた。実家のアルバムには段ボールで作った鎧を着ている写真がある笑　ものや自然を大切にする意識は特になかった。そもそも田舎なので周りは自然に囲まれているので自然の中で遊ぶのが当たり前だった。家族でよくキャンプにも行った。子供の頃の社会貢献と言えば、阪神淡路大震災が起こり、テレビで見ていた自分はショックを受けてその年のお年玉全部５万円分だか？を寄付した記憶がある。
",237,"2025-07-04 22:44:20"
q003,幼少期,幼少期に最も影響を受けた人物は誰ですか？その人から学んだ価値観や教えを具体的に教えてください。,"幼少期に影響を受けた人物は、ぱっと思いつかないが祖父はいつもおおらかで、誰からも愛されていた。いつも家でビールや日本酒をおいしそうに飲んでいて飲み終わったらすぐに眠っていた。親父は夜遅くまで現場仕事をするか、飲みに行っていた。よく覚えているのは飲んで帰ってきては家で家族にまとわりつく、飲み過ぎて起きれない、ソファーで嘔吐して母親に激怒されるなど。当時はそんな親父が、嫌で仕方なかったが今の自分をみていると親子だなと思う。
",212,"2025-07-04 22:44:26"
q004,幼少期,小学校時代の印象的な出来事や、リーダーシップを発揮した経験があれば教えてください。,特にないです。転校する生徒がいたら、その子の家に行って二人でわんわん泣きながら見送ったかな,45,"2025-07-04 22:51:50"
q005,青年期,中学・高校時代はどのような学生でしたか？部活動や勉強、アルバイトなどの経験も含めて。,"中学高校は行っていない。小学校５年生から不登校になり、中学校は入学式と修学旅行、卒業式には行った記憶があるが、他の記憶はほぼない。部活は剣道部に入ったが、一日しか行ってない。同級生のタケオがすごかった気がする。その後卓球部に入ったが、それも練習した記憶すらない。なので高校も行ってない。受験すらしていない。アルバイトは、不登校になってしばらく ただテレビを見ているだけの日が続いた後はゲームばかりしていたある日 あまりに自分がテレビを占有してるので姉と大喧嘩になった そしてそれを見ていた土がブチ切れて自分を夜外に追い出した 自分もすぐに謝ればよかったのだが それも 意地があり 謝らず ずっと外に出ていた わんわん泣きながら犬を撫でながら 空を見上げていた記憶があるよく 朝から 家 どころか布団からすら出なくなった 死のうと思った時もあったが 所詮子供なので息を止めたりして仕事するのが関の山だった しばらくして何がきっかけかわからないが親父のノートパソコンを自分の部屋に持ち込んだ そしてパソコンゲームをしていた当時の パソコンゲームは 英語 海外のゲームをただ パッケージと日本語だけをパッケージ と説明書だけを日本語に翻訳したものを日本語版として売っているような状況だった それをパソコンにインストールして遊んでいた かっこ メックウォリアー や デルタフォースシリーズなど 遊んでいた かっこ閉じる そんなこんなで しばらくバス パソコンゲームを遊んでいると今で言う チート やもっとみたいなのに手を出すようになってきたそうやって システム ちょっといじり始めたのが プログラミングをするきっかけのようなものだったかもしれない",719,"2025-07-05 02:07:49"
q006,青年期,学生時代に経験した挫折や困難、そしてそれをどう乗り越えたか教えてください。,"先に書いたように 小学校5年生で不登校になったきっかけは ちょっとよく覚えていない姉2人がインフルエンザか何かになってずっと 学校休んでいたのが羨ましくて自分も休んだりしたこともあったし 近所の同級生をいじめたということを言われてその親に呼び出されて 深夜 謝罪したような記憶もある あとは何だろうな 当時 学校でスカートめくりをしたり 自分の局部を出して同級生 キャーキャー言わされ 最低の遊びをしていたが そんなことをしていたら先生に呼び出されてめちゃくちゃ怒られた記憶もある とにかく何がきっかけだったか思い出せないか ある日から学校に行かなくなった でも勉強は嫌いだったが友達と遊ぶのは好きなので不登校になりながらなったとあんまり 出歩かなくなったが 同級生たちは家に遊びに来てくれてた そこでゲームをしたり パソコンを使って遊んだり ゲートボードのビデオを撮ったりインターネット ホームページを作ったりとかまあなんか色々 その時の思いつきで遊んでいた 何もせずにただ漫画を読んでるだけのような日もあったりする 不登校というのは自分的には最初は衝撃だったかもしれないがだんだん それが普通になってきた気がする未だに覚えてるのは不登校になったすぐの頃おそらく 大学生 か何かの若いお兄ちゃんが家に来て一緒にゲームをしてくれたのを覚えてる 何とか来てくれた あれは大学か何かの加害実習だったのかわからないけど でも 何何なのかわからないけど でも未だに遊んでくれて嬉しかった」っていうのを覚えている。パソコンでゲームをしていたら ある日 調子が悪くなってその時にパソコンショップ ユーザーの積算に親が頼んでパソコンを直しに来てくれた そこで パソコンを開いてパーツを交換したりして修理をしてくれるのに自分は衝撃を受けた あそんな風になくことができるんだということで 興味を持ったそこからは自分でパーツを買ってパソコンを強化したり 修理したりするようになった その時は NEC のデスクトップだったが だんだんと高性能なパソコンが欲しくなり自分でパーツを買い集めてパソコンを作ったりしていた 街作 PC というやつだそうすると今もそうだが パソコンのパーツは高価なのでお金が欲しくなってきた それでヤフーオークションを使って まああの悪いことではあるが コピーしたゲームソフトを売ったり 改造データを送ったりして金を稼ぐようになっていった まあ いろいろな もう売ったりしていたが 悪いことはまず長続きしないもので それがバレて続き 続けられなくなったしょうがないのでパソコンショップ ユーザーでアルバイトをするようになった それが結構人生の天気だったような気がする 引きこもり 自体を無事に パソコンショップ ユーザーでバイトするようになって人との関わりを持つようになった そしてお金をちゃんとそこで稼ぐというのをし始めた まあ それでも全然足りなかったのでいろんなものをまだヤフオクで売ったりしていた 爬虫類の餌にするためにコオロギを育ててそれを売ったりしたこともある そんななんやかんやで そんな風にして社会復帰をだんだんするようになれたのだった。パソコンの修理 教えてくれたり そんな風に アルバイトとして雇ってくれたりして社会に出させてくれた パソコンショップの関さんには本当に感謝",1397,"2025-07-05 02:15:26"
q007,青年期,進路選択（大学・専門学校・就職など）の際、何を基準に決めましたか？廃棄物処理や水回りの仕事を意識し始めたきっかけはありましたか？,先に書いてあるとおり、進学も就職もしていない。関さんのところでは徐々にやることも給料も増えていったがそれでもバイトだけでは足りないので相変わらずヤフオクで色々売ったりして金を稼いでいた。爬虫類の餌としてコオロギを育てて売ったり。そんな中、関さんが近所の農家さんから数量管理のシステムを作れないか相談を受けてきた。自分に試しに作ってみてくれないかと言われた。それまでプログラミングは趣味で何となくは覚えていたがシステムを作るなんてしたことなかったが、お金にもなるし人の悩みも解決できるということで楽しく取り組んだ。2週間程度で作成したが、当初作ったものはバグだらけでその後何度もお客さんに使ってもらいながら修正して、2ヶ月程度でようやく形になった。その時の大きな達成感を覚えている。その後、実家の浄化槽管理ソフトの修繕を頼まれた。そのソフトはアクセスで作られており、数年前に業者から高額で作ってもらったそうだが、アクセスのバージョンが変わったら使えなくなったらしく、自分のところに相談が来た。数量管理のソフトとはまたケタ違いの規模のソフトだったがそれも何ヶ月かかけてなんとか直すことができた。そして報酬として当時の自分としては大金の20万円をいただいた。大きく覚えているエピソードはその2つだが、それで完全に調子に乗った自分はその後もちょくちょく仕事でもプライベートでもプログラムを作っていた。そんなことをしながらパソコンショップUSERでの仕事も10年を過ぎた頃、親父から「仕事が忙しくなってきたから手伝ってくれないか？」と言われたのが26歳だった。その当時は親父の会社とは少し疎遠になっていたこともあり、あまり良く分かっていなかったが肉体労働であることは認識していたので嫌だった。USERでの仕事も好きだったので、週3程度のバイトだったらと言うことで始めた気がする。最初の仕事はカンツー工業の仕事で、高圧洗浄機を使った詰まり直しやクリーニングを行なっていた。しかし、しばらくしてからすぐに当時のカンツーの親方だった佐藤典行部長から「週3日じゃ使いづらい。毎日これないか」と相談があった。関さんにも相談していたらしく、後ろ髪を引かれながらもUSERを辞めて正式に株式会社小出環境サービス（当時はカンツー工業株式会社）に就職することになったのである。元引きこもりで、その後もデスク仕事ばかりしてた男である。肉体労働なんてしたことない。最初の頃は家に帰ってくると疲れ果てて夕飯も食わずにベッドに倒れ込む。時には泣いていた。一番つらかったのはダムの作業で、何十キロもある機材を持ちながら100メーター以上の階段を下りる。作業が終わればまた同じ機材を持って階段を上がるのである。時にはトンネルを数キロも歩いて、真っ暗でほこりまみれのトンネルの中で昼食を取ったり、またカンツーの仕事はきつかった。でも、先輩たちも優しかったし（一部除く）世間知らずの自分にもよくしてくれた。その頃はツラくても仕事を辞めようというのは思わなかった。,1259,"2025-07-04 19:37:08"
q008,青年期,青年期に培った人間関係で、現在も続いているものはありますか？それらの関係が事業にどう影響していますか？,"正式に会社で働き始めるようになってすぐに、地元の青年団体から声がかかった。それは七日市青年会で、地元の祭りなどをしている団体だった。会社に入る時点で、地元のコミュニティにかかわることは避けられないと思っていたのですぐに承諾した。ひきこもりの自分だったが、犬の散歩だけは毎日していたので近所の皆さんからは存在がバレており働き始めてすぐに勧誘が来たのである。そして七日市青年会の活動も少しずつ出るようになったところで米山工務店様の米山雅人さんが「湯之谷商工会青年部にも入らないか？」と誘ってくれた。自分としてはよく青年会との違いが分からなかったが、同じように若者の会で、経営者の会だから入ったほうが良いということで入ることになった。当時の専務（須佐）も親父の代わりに商工会活動を熱心にやっていたこともあり、会社の理解もあったというのもよかった。七日市青年会や商工会での交流を通じて、覚醒した。みんなで酒を飲む楽しさを覚えてしまい、若い頃の親父のように酒に飲まれてしまった。何がきっかけかはわからないが、当時は酒を飲むとよく全裸になっていた。特にコンパニオンがいるような会では脱ぐとキャーキャー言われるのが楽しかったのかすぐ全裸になり、完全に大桃＝全裸キャラが定着してしまった。
今は全裸になることはそんなに無いが、その頃から今も続いているのは人を楽しませるのが好きというのは当時から変わっていない。
そして仕事をしながらも青年会と商工会での活動を続ける中、ある転機が来た。当時、地元にローカルFMをつくる流れが市町村ごとにあったのである。魚沼にもFMをつくろうという話があり、そこの発起人の1人として名前を連ねることになった。そこで上村学さんからJC（青年会議所）にお誘いいただいたのが自分とJCの出会いである。その後、玉川酒造の風間勇人君からも電話でJCの会議に誘われて参加することになった。実はJCの存在はあまり知らなかったが名前や存在自体は知っていた。当時、商工会青年部の先輩だった三友玲央さんがキッカケだった。当時の三友さんは東京から帰ってきたばかりで少しヤンチャだったが、ある日を境にスーツを来て会議に来るようになり、商工会青年部の会議が終わると飲みに行かずにタッタッタと2階に上がって行くようになった。
他の先輩に「三友さんどこ行くんすか？？」と聞くと、「あー、JCだよ」と返答があり当時の自分はJC？？？となっていたのを覚えている。
そんなこんなで、名前だけはなんとなく覚えていたのである。
JCは、20歳から40歳までの若者で組織された団体で、全世界に10万人の会員がいる世界最大の青年団体である。ビルゲイツや、世界の王族などもOBで地域貢献をしながら自己研鑽する組織であるが、日本だと政治家を輩出する団体のように言われることもある。
学さんと風間君に誘われた自分はスーツを着て、いつかの三友さんのように、JCの理事会に出席することになった。JCの理事会の第一印象は「すごい会議をしているな！」だった。
会社の会議でも商工会青年部の会議でも他の団体の会議でも、会議と言えば簡単な次第が紙で用意されており、事務局員や社長や会長がつらつら喋るだけと言うのが会議のイメージだった。
JCの会議は全員がPCで、次第もデジタルデータである。議題も議案書と呼ばれる企画書のようなものを担当者が上程台と言われる演題の前でプレゼンをする。今となっては当たり前だが、当時は衝撃を受けた。
進行も次第に沿って行われ、勝手な発言はできない。何か発言したい時は挙手して質問や意見を言うのだ。
そんな効率化・企画化された会議をしているJCの会議だが、それでも当時は夜22時を過ぎるのが当たり前で、0時を過ぎることもザラにあった。そのときは（やばい会に来ちゃったな）と内心思ったものだ。
それでも、会議が終わるとのその時間から打ち上げが始まり、打ち上げでは地域の現状や未来について青年経済人らしい熱い議論が交わされていた。
そのメリハリに魅了され、すっかり自分はJCにハマってしまった。




",1690,"2025-07-04 20:14:15"
q009,社会人初期,社会人としての第一歩はどこで踏み出しましたか？最初の職場での経験と学びを詳しく教えてください。,"パソコンショップ ユーザーのアルバイト が最初だった仕事の内容としては 関さんがお客さんから預かったパソコンのソフトウェア 的 ハードウェア 的な修理 が主な担当だったの分解清掃したり中のメモリー交換 パーツ交換 ハードディスク交換などをしていた。その他には害虫で保険会社 その他 証券会社さんのパソコンの入れ替えていうのか 定期的に発生していた 富士通さん系列の仕事を猫 舌の 大家さん という方が受けていてその下請けで 関さんが受けてそれを自分が受けていた とにかく人の人数が必要な仕事だったのでその時だけ一緒に作業する仲間というのが何人かいた今 片付けたいにアルバイトに来てもらってる 山田さんなどもその当時いたと思う そして 証券会社 さんなどの業務が終わってからの夜間作業が主だった パソコンのバックアップだったりを1台ずつやって終わったら撤去作業 そして 新しいパソコンを置いて起動の確認 そして最低限必要なソフトのインストールなどをしていた大きな拠点になると何百台もの入れ替えが発生して何日も泊まり込みでの作業というのもあった ほとんど関さんと同行していたが たまに泊まり込みで関さんが行けず自分だったり 大家さんの社員と一緒に行くみたいな作業もありました 群馬に1ヶ月近く通ったり止まったりしたこともあった そこでは基本的には マニュアル通りにやるだけなのだが やはり マニュアル通りにならないエラーなどもあったりしてその時に どういう風に対処するかというのをその上場企業のマニュアル だったり トラブル対応を目にしてパソコンスキルが磨かれた気がする。",684,"2025-07-05 07:12:55"
q010,社会人初期,廃棄物処理業界や水回りメンテナンス業界に入ったきっかけと、最初に感じた業界の印象を教えてください。,難しい質問です。し尿のくみ取りや浄化槽、下水処理場のメンテナンスは幼少期から祖父や父がやっていたのをみていたし、後ろ指をさされるつらい仕事だなあと言うのはわかっていた。でも私の時代ではそれをキッカケにいじめられるなんてなかったし、会社に入ってから意識が変わったのはかなりデータや細かいメンテナンスが必要な仕事なんだなぁと言うこと。今も曖昧な認識の部分もあるが、許可業なのでいい加減な仕事はできない。一般の人は適当に収集して下手したらそこら辺に捨ててしまえば良いなんて思ってる人もいるかも知れないが、そんなことをしたらすぐに免許剥奪になる。最初から最後まで責任を持って管理しなければいけない。雑な自分には大変な仕事だなあと思いました。,316,"2025-07-04 20:29:56"
